time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/loss,train/clip_range,train/learning_rate,train/std,train/entropy_loss,train/n_updates,train/approx_kl,train/clip_fraction,train/value_loss,train/explained_variance,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
574,118,420,241664,108.11351013183594,0.3,0.0003,2.358809471130371,-4.527440917491913,1170,0.008411994,0.06630859375,73.0119355570525,0.9797645211219788,-0.006628229659690987,-5954.504954340909,5427.431818181818
575,119,423,243712,-0.09283587336540222,0.3,0.0003,2.3410308361053467,-4.530032938718795,1180,0.016500257,0.0537109375,0.3221569984452799,0.9145205616950989,-0.008796399674611165,-5954.504954340909,5427.431818181818
575,120,426,245760,1.5943667888641357,0.3,0.0003,2.345365524291992,-4.5265626281499864,1190,0.028046688,0.1125,5.914644937776029,0.9370898008346558,-0.008990858223114628,-5954.504954340909,5427.431818181818
576,121,429,247808,1.263543963432312,0.3,0.0003,2.3847973346710205,-4.544616524875164,1200,0.026076976,0.13623046875,3.1190121110528706,0.9241095185279846,-0.02151373756933026,-5954.504954340909,5427.431818181818
577,122,432,249856,1.2908782958984375,0.3,0.0003,2.388688564300537,-4.564987659454346,1210,0.023574535,0.2048828125,4.749501428753137,0.9679542779922485,-0.03670287018321687,-5954.504954340909,5427.431818181818
577,123,436,251904,1.4184415340423584,0.3,0.0003,2.386528253555298,-4.56622074842453,1220,0.0136288535,0.093798828125,3.758927384018898,0.685494065284729,-0.012472204484220128,-5996.634205622222,5565.466666666666
578,124,439,253952,25.541440963745117,0.3,0.0003,2.3984830379486084,-4.568581078946591,1230,0.007962364,0.046337890625,52.49032189641148,0.9759803414344788,-0.009084315435029567,-5996.634205622222,5565.466666666666
579,125,442,256000,-0.16943781077861786,0.3,0.0003,2.486194610595703,-4.619109238684177,1240,0.019024026,0.088134765625,0.10340041995514185,0.6768962740898132,-0.009232650343619753,-5996.634205622222,5565.466666666666
579,126,445,258048,0.3178310990333557,0.3,0.0003,2.5133285522460938,-4.657120099663734,1250,0.015678428,0.06318359375,2.1687087675556542,0.9871188402175903,-0.008321613906446146,-5996.634205622222,5565.466666666666
580,127,448,260096,0.9694522619247437,0.3,0.0003,2.5494465827941895,-4.678605987131595,1260,0.019704383,0.109228515625,2.2278959600254895,0.7428464889526367,-0.015909747386467644,-5996.634205622222,5565.466666666666
581,128,451,262144,0.3495286703109741,0.3,0.0003,2.5543251037597656,-4.697058066725731,1270,0.031226065,0.183251953125,3.0045482927933334,0.9713625311851501,-0.0360510347672971,-5996.634205622222,5565.466666666666
580,129,454,264192,0.3663940727710724,0.3,0.0003,2.5553860664367676,-4.700593914091587,1280,0.015656224,0.07958984375,2.417897722590715,-0.6860921382904053,-0.003722407479654066,-6093.7951881956515,5737.391304347826
